[MACHINE_INFO]
SerialNumber,SoftwareVersion,UserID,LineNo,LotNo
A8HXL21-011,4.0.11001.27006,administrator,5,1
[Board_INFO]
Barcode,GroupName,ProgramName,Side,Lane,Length,Width,Conveyor,Fidu,Module,Part,FOV,StartInspTime,EndInspTime,Inspection time,Result
2609992562311049000012,GDW-SCYZ,290-11049-00-B,NONE,Front,471,484,465.00,2,1,456,33,20250623144411,20250623144435,23.712,USEROK
[PANEL_INFO]
ModuleID,Result,InspTime,ModuleBarcode,RepairTime,Part_Total,Part_Good,Part_NG,Part_UserOK,Part_Skip
1,USEROK,20250623144411,2609992562311049000012,20250623144820,456,447,0,9,0
[Part_INFO]
ModuleID,PartNo,Packaged,PartName,RefID,PosX,PosY,Part_Angle,CAD_X,CAD_Y,CAD_Angle,AlgorismKind,InspUserID,InspResult,RepairUserID,RepairResult,RepairTime,DefectNumber,Image_Path 
1,390,Default,100-00071-00,R433,373.069,194.390,,372.9097,194.4769,180,,administrator,Kong_han,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@390.jpg
1,93,Default,125-00013-00,C479,367.289,232.962,,367.1116,233.0518,90,,administrator,Kong_han,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@93.jpg
1,138,Default,161-10021-00,D27,372.516,71.007,,372.4096,71.0733,90,,administrator,Kong_han,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@138.jpg
1,179,Default,161-20005-00,DZ8,388.952,63.334,,388.8517,63.4059,270,,administrator,Qiao_qi,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@179.jpg
1,311,Default,100-51200-00,R268,406.097,65.518,,405.998,65.5979,270,,administrator,Jiao_du_NG,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@311.jpg
1,243,Default,300-00766-00,P66,216.408,75.666,,216.2747,75.6654,90,,administrator,Pian_yi,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@243.jpg
1,207,Default,161-20006-00,DZ29,94.128,338.371,,93.8611,338.3598,180,,administrator,Kong_han,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@207.jpg
1,165,Default,160-03023-00,D100,21.461,31.085,,21.3147,30.9928,90,,administrator,Kong_han,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@165.jpg
1,267,Default,171-00001-00,Q100,26.011,25.682,,25.8678,25.5907,270,,administrator,Yin_jiao_Lift,administrator,PASS,20250623144820,NULL,D:\Eagle3D_data\InspectResult\Image\GDW-SCYZ\290-11049-00-B\20250623144411\1@267.jpg
[Window_INFO]
