[MACHINE_INFO]
SerialNumber,SoftwareVersion,UserID,LineNo,LotNo
A8HXL21-011,4.0.11001.27006,administrator,5,1
[Board_INFO]
Barcode,GroupName,ProgramName,Side,Lane,Length,Width,Conveyor,Fidu,Module,Part,FOV,StartInspTime,EndInspTime,Inspection time,Result
4140992562610845020077,GDW-LC,290-10845-02-T-90,NONE,Front,393,375,383.00,2,1,606,38,20250626225844,20250626225913,28.880,GOOD
[PANEL_INFO]
ModuleID,Result,InspTime,ModuleBarcode,RepairTime,Part_Total,Part_Good,Part_NG,Part_UserOK,Part_Skip
1,GOOD,20250626225844,4140992562610845020077,,606,606,0,0,0
[Part_INFO]
ModuleID,PartNo,Packaged,PartName,RefID,PosX,PosY,Part_Angle,CAD_X,CAD_Y,CAD_Angle,AlgorismKind,InspUserID,InspResult,RepairUserID,RepairResult,RepairTime,DefectNumber,Image_Path 
1,60,Default,125-00013-00,C658,300.275,14.251,,298.7309,24.6842,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@60.jpg
1,62,Default,125-00013-00,C659,308.373,14.621,,306.8297,25.0661,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@62.jpg
1,217,Default,160-10037-00,D208,308.492,47.086,,306.9016,57.5328,0,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@217.jpg
1,218,Default,160-10037-00,D209,308.506,50.910,,306.9101,61.3568,0,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@218.jpg
1,277,Default,141-51000-00,L611,300.265,25.448,,298.7057,35.8814,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@277.jpg
1,278,Default,141-51000-00,L612,307.963,25.419,,306.4037,35.8643,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@278.jpg
1,405,Default,100-14100-00,R137,316.561,39.284,,314.9824,49.7418,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@405.jpg
1,406,Default,100-14100-00,R138,316.542,34.086,,314.9709,44.5432,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@406.jpg
1,407,Default,100-14100-00,R139,316.523,28.987,,314.9596,39.4445,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@407.jpg
1,408,Default,100-14100-00,R142,316.505,23.989,,314.9485,34.4458,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@408.jpg
1,409,Default,100-14100-00,R144,316.486,18.891,,314.9372,29.3471,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@409.jpg
1,222,Default,160-10037-00,D615,304.263,11.437,,302.7237,21.876,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@222.jpg
1,241,Default,161-10015-00,D618,300.462,10.751,,298.9231,21.1846,-270,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@241.jpg
1,242,Default,161-10015-00,D619,308.359,10.723,,306.8211,21.1671,-270,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@242.jpg
1,59,Default,125-00013-00,C657,292.678,14.579,,291.1335,25.0009,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@59.jpg
1,220,Default,160-10037-00,D613,288.968,11.493,,287.4276,21.9099,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@220.jpg
1,221,Default,160-10037-00,D614,296.665,11.465,,295.1256,21.8929,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@221.jpg
1,240,Default,161-10015-00,D617,292.165,10.982,,290.6257,21.403,-270,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@240.jpg
1,276,Default,141-51000-00,L610,293.967,25.470,,292.4073,35.8953,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@276.jpg
1,498,Default,100-13270-00,R298,242.569,21.359,,241.0111,31.7103,-270,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@498.jpg
1,499,Default,100-13270-00,R300,246.080,17.872,,244.5275,28.2284,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@499.jpg
1,500,Default,100-13270-00,R302,249.362,20.110,,247.8067,30.4705,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@500.jpg
1,501,Default,100-13270-00,R303,252.719,22.372,,251.1609,32.7375,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@501.jpg
1,34,Default,125-00013-00,C120,304.629,84.513,,302.9855,94.9569,-270,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@34.jpg
1,169,Default,125-00014-00,C119,304.605,86.242,,302.9893,96.6565,-90,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@169.jpg
1,248,Default,161-20000-00,DZ209,298.521,81.636,,296.8807,92.0712,0,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@248.jpg
1,287,Default,171-00003-00,Q205,298.237,85.901,,296.5909,96.6367,-270,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@287.jpg
1,428,Default,107-60003-00,R232,255.803,59.224,,254.1918,69.5965,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@428.jpg
1,429,Default,107-60003-00,R239,262.267,59.200,,260.6571,69.5822,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@429.jpg
1,430,Default,107-60003-00,R244,268.731,59.177,,267.1214,69.5678,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@430.jpg
1,431,Default,107-60003-00,R246,275.196,59.153,,273.5867,69.5535,-180,,administrator,OK,,OK,,OK,D:\Eagle3D_data\InspectResult\Image\GDW-LC\290-10845-02-T-90\20250626225844\1@431.jpg
